DATE,Mortgage_15yr,Mortgage_30yr,Adjusted CPI,Gross Domestic Product,Home_price_index,Monthly_supply_houses,Personal_income,Population,Total_construction,Unemployment_rate
1947-01-01,0.0,0.0,12.699350265800353,2.43164e+18,0.0,0.0,0.0,0.0,0.0,0.0
1947-02-01,0.0,0.0,12.758417011222681,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1947-03-01,0.0,0.0,12.99468399291199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1947-04-01,0.0,0.0,12.99468399291199,2.45968e+18,0.0,0.0,0.0,0.0,0.0,0.0
1947-05-01,0.0,0.0,12.99468399291199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1947-06-01,0.0,0.0,13.053750738334317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1947-07-01,0.0,0.0,13.112817483756643,2.49585e+18,0.0,0.0,0.0,0.0,0.0,0.0
1947-08-01,0.0,0.0,13.230950974601297,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1947-09-01,0.0,0.0,13.467217956290607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1947-10-01,0.0,0.0,13.526284701712934,2.59745e+18,0.0,0.0,0.0,0.0,0.0,0.0
1947-11-01,0.0,0.0,13.644418192557591,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1947-12-01,0.0,0.0,13.82161842882457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1948-01-01,0.0,0.0,13.998818665091552,2.65742e+18,0.0,0.0,0.0,0.0,0.0,3.0
1948-02-01,0.0,0.0,13.998818665091552,0.0,0.0,0.0,0.0,0.0,0.0,3.3
1948-03-01,0.0,0.0,13.880685174246898,0.0,0.0,0.0,0.0,0.0,0.0,3.5
1948-04-01,0.0,0.0,14.057885410513881,2.72567e+18,0.0,0.0,0.0,0.0,0.0,3.5
1948-05-01,0.0,0.0,14.176018901358535,0.0,0.0,0.0,0.0,0.0,0.0,3.3
1948-06-01,0.0,0.0,14.294152392203188,0.0,0.0,0.0,0.0,0.0,0.0,3.2
1948-07-01,0.0,0.0,14.412285883047842,2.7919600000000005e+18,0.0,0.0,0.0,0.0,0.0,3.1
1948-08-01,0.0,0.0,14.412285883047842,0.0,0.0,0.0,0.0,0.0,0.0,3.4
1948-09-01,0.0,0.0,14.412285883047842,0.0,0.0,0.0,0.0,0.0,0.0,3.4
1948-10-01,0.0,0.0,14.353219137625517,2.80366e+18,0.0,0.0,0.0,0.0,0.0,3.4
1948-11-01,0.0,0.0,14.294152392203188,0.0,0.0,0.0,0.0,0.0,0.0,3.4
1948-12-01,0.0,0.0,14.235085646780863,0.0,0.0,0.0,0.0,0.0,0.0,3.6
1949-01-01,0.0,0.0,14.176018901358535,2.75034e+18,0.0,0.0,0.0,0.0,0.0,3.8
1949-02-01,0.0,0.0,14.116952155936206,0.0,0.0,0.0,0.0,0.0,0.0,4.2
1949-03-01,0.0,0.0,14.116952155936206,0.0,0.0,0.0,0.0,0.0,0.0,4.4
1949-04-01,0.0,0.0,14.116952155936206,2.71351e+18,0.0,0.0,0.0,0.0,0.0,4.7
1949-05-01,0.0,0.0,14.116952155936206,0.0,0.0,0.0,0.0,0.0,0.0,5.5
1949-06-01,0.0,0.0,14.116952155936206,0.0,0.0,0.0,0.0,0.0,0.0,5.6
1949-07-01,0.0,0.0,13.998818665091552,2.72889e+18,0.0,0.0,0.0,0.0,0.0,6.2
1949-08-01,0.0,0.0,13.998818665091552,0.0,0.0,0.0,0.0,0.0,0.0,6.2
1949-09-01,0.0,0.0,14.057885410513881,0.0,0.0,0.0,0.0,0.0,0.0,6.0
1949-10-01,0.0,0.0,13.998818665091552,2.70627e+18,0.0,0.0,0.0,0.0,0.0,7.3
1949-11-01,0.0,0.0,13.998818665091552,0.0,0.0,0.0,0.0,0.0,0.0,5.9
1949-12-01,0.0,0.0,13.939751919669227,0.0,0.0,0.0,0.0,0.0,0.0,5.9
1950-01-01,0.0,0.0,13.880685174246898,2.8082799999999995e+18,0.0,0.0,0.0,0.0,0.0,5.9
1950-02-01,0.0,0.0,13.939751919669227,0.0,0.0,0.0,0.0,0.0,0.0,5.7
1950-03-01,0.0,0.0,13.939751919669227,0.0,0.0,0.0,0.0,0.0,0.0,5.7
1950-04-01,0.0,0.0,13.998818665091552,2.90383e+18,0.0,0.0,0.0,0.0,0.0,5.3
1950-05-01,0.0,0.0,14.057885410513881,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1950-06-01,0.0,0.0,14.116952155936206,0.0,0.0,0.0,0.0,0.0,0.0,4.9
1950-07-01,0.0,0.0,14.235085646780863,3.0815300000000005e+18,0.0,0.0,0.0,0.0,0.0,4.6
1950-08-01,0.0,0.0,14.294152392203188,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1950-09-01,0.0,0.0,14.353219137625517,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1950-10-01,0.0,0.0,14.471352628470171,3.19945e+18,0.0,0.0,0.0,0.0,0.0,3.7
1950-11-01,0.0,0.0,14.5304193738925,0.0,0.0,0.0,0.0,0.0,0.0,3.8
1950-12-01,0.0,0.0,14.766686355581808,0.0,0.0,0.0,0.0,0.0,0.0,3.8
1951-01-01,0.0,0.0,15.002953337271116,3.36e+18,0.0,0.0,0.0,0.0,0.0,3.4
1951-02-01,0.0,0.0,15.239220318960426,0.0,0.0,0.0,0.0,0.0,0.0,3.1
1951-03-01,0.0,0.0,15.298287064382752,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1951-04-01,0.0,0.0,15.298287064382752,3.4409e+18,0.0,0.0,0.0,0.0,0.0,2.8
1951-05-01,0.0,0.0,15.35735380980508,0.0,0.0,0.0,0.0,0.0,0.0,2.7
1951-06-01,0.0,0.0,15.298287064382752,0.0,0.0,0.0,0.0,0.0,0.0,2.9
1951-07-01,0.0,0.0,15.298287064382752,3.51385e+18,0.0,0.0,0.0,0.0,0.0,2.7
1951-08-01,0.0,0.0,15.298287064382752,0.0,0.0,0.0,0.0,0.0,0.0,2.8
1951-09-01,0.0,0.0,15.35735380980508,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1951-10-01,0.0,0.0,15.475487300649734,3.56178e+18,0.0,0.0,0.0,0.0,0.0,3.2
1951-11-01,0.0,0.0,15.534554046072062,0.0,0.0,0.0,0.0,0.0,0.0,3.1
1951-12-01,0.0,0.0,15.652687536916716,0.0,0.0,0.0,0.0,0.0,0.0,2.8
1952-01-01,0.0,0.0,15.652687536916716,3.5982e+18,0.0,0.0,0.0,0.0,0.0,2.7
1952-02-01,0.0,0.0,15.593620791494388,0.0,0.0,0.0,0.0,0.0,0.0,2.8
1952-03-01,0.0,0.0,15.593620791494388,0.0,0.0,0.0,0.0,0.0,0.0,2.6
1952-04-01,0.0,0.0,15.652687536916716,3.6103e+18,0.0,0.0,0.0,0.0,0.0,2.6
1952-05-01,0.0,0.0,15.652687536916716,0.0,0.0,0.0,0.0,0.0,0.0,2.6
1952-06-01,0.0,0.0,15.652687536916716,0.0,0.0,0.0,0.0,0.0,0.0,2.6
1952-07-01,0.0,0.0,15.77082102776137,3.67701e+18,0.0,0.0,0.0,0.0,0.0,2.8
1952-08-01,0.0,0.0,15.77082102776137,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1952-09-01,0.0,0.0,15.711754282339044,0.0,0.0,0.0,0.0,0.0,0.0,2.7
1952-10-01,0.0,0.0,15.77082102776137,3.80812e+18,0.0,0.0,0.0,0.0,0.0,2.6
1952-11-01,0.0,0.0,15.77082102776137,0.0,0.0,0.0,0.0,0.0,0.0,2.4
1952-12-01,0.0,0.0,15.77082102776137,0.0,0.0,0.0,0.0,0.0,0.0,2.3
1953-01-01,0.0,0.0,15.711754282339044,3.8798e+18,0.0,0.0,0.0,0.0,0.0,2.6
1953-02-01,0.0,0.0,15.711754282339044,0.0,0.0,0.0,0.0,0.0,0.0,2.3
1953-03-01,0.0,0.0,15.711754282339044,0.0,0.0,0.0,0.0,0.0,0.0,2.3
1953-04-01,0.0,0.0,15.77082102776137,3.91749e+18,0.0,0.0,0.0,0.0,0.0,2.4
1953-05-01,0.0,0.0,15.77082102776137,0.0,0.0,0.0,0.0,0.0,0.0,2.3
1953-06-01,0.0,0.0,15.829887773183698,0.0,0.0,0.0,0.0,0.0,0.0,2.2
1953-07-01,0.0,0.0,15.829887773183698,3.91171e+18,0.0,0.0,0.0,0.0,0.0,2.3
1953-08-01,0.0,0.0,15.888954518606024,0.0,0.0,0.0,0.0,0.0,0.0,2.3
1953-09-01,0.0,0.0,15.888954518606024,0.0,0.0,0.0,0.0,0.0,0.0,2.6
1953-10-01,0.0,0.0,15.948021264028352,3.8597e+18,0.0,0.0,0.0,0.0,0.0,2.7
1953-11-01,0.0,0.0,15.888954518606024,0.0,0.0,0.0,0.0,0.0,0.0,3.2
1953-12-01,0.0,0.0,15.888954518606024,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1954-01-01,0.0,0.0,15.888954518606024,3.85345e+18,0.0,0.0,0.0,0.0,0.0,4.4
1954-02-01,0.0,0.0,15.948021264028352,0.0,0.0,0.0,0.0,0.0,0.0,4.6
1954-03-01,0.0,0.0,15.888954518606024,0.0,0.0,0.0,0.0,0.0,0.0,5.1
1954-04-01,0.0,0.0,15.888954518606024,3.86121e+18,0.0,0.0,0.0,0.0,0.0,5.3
1954-05-01,0.0,0.0,15.888954518606024,0.0,0.0,0.0,0.0,0.0,0.0,5.4
1954-06-01,0.0,0.0,15.888954518606024,0.0,0.0,0.0,0.0,0.0,0.0,5.3
1954-07-01,0.0,0.0,15.888954518606024,3.90996e+18,0.0,0.0,0.0,0.0,0.0,5.3
1954-08-01,0.0,0.0,15.888954518606024,0.0,0.0,0.0,0.0,0.0,0.0,5.5
1954-09-01,0.0,0.0,15.829887773183698,0.0,0.0,0.0,0.0,0.0,0.0,5.6
1954-10-01,0.0,0.0,15.77082102776137,3.99734e+18,0.0,0.0,0.0,0.0,0.0,5.3
